timestamp,hour,minute,second,time-hr-min-sec,date,tvoc_ppb,temp_c,rh_percent,light_lux,co2eq_ppm,dist_mm,co2eq_base,tvoc_base,abs_humid,home,sensor,Will,Maggie,Kurt,Sade,number,occupied
3/12/2019 0:06,0,6,50,0:06:50,3/12/2019,50,25.60000038,20.70000076,0,734,0,35189,35907,4.929703355,H1,BS2,1,1,1,0,3,1
3/12/2019 0:07,0,7,0,0:07:00,3/12/2019,56,25.60000038,20.70000076,0,724,0,35189,35907,4.929703355,H1,BS2,1,1,1,0,3,1
3/12/2019 0:07,0,7,10,0:07:10,3/12/2019,53,,,0,714,0,35189,35907,,H1,BS2,1,1,1,0,3,1
3/12/2019 0:07,0,7,20,0:07:20,3/12/2019,47,25.60000038,20.60000038,0,727,0,35189,35907,4.905888273,H1,BS2,1,1,1,0,3,1
3/12/2019 0:07,0,7,30,0:07:30,3/12/2019,51,25.60000038,20.70000076,0,738,0,35189,35907,4.929703355,H1,BS2,1,1,1,0,3,1
3/12/2019 0:07,0,7,40,0:07:40,3/12/2019,47,25.60000038,20.60000038,0,733,0,35189,35907,4.905888273,H1,BS2,1,1,1,0,3,1
3/12/2019 0:07,0,7,50,0:07:50,3/12/2019,55,25.60000038,20.60000038,0,744,0,35189,35907,4.905888273,H1,BS2,1,1,1,0,3,1
3/12/2019 0:08,0,8,0,0:08:00,3/12/2019,51,25.60000038,20.60000038,0,731,0,35189,35907,4.905888273,H1,BS2,1,1,1,0,3,1
3/12/2019 0:08,0,8,10,0:08:10,3/12/2019,45,25.60000038,20.60000038,0,722,0,35189,35907,4.905888273,H1,BS2,1,1,1,0,3,1
3/12/2019 0:08,0,8,20,0:08:20,3/12/2019,44,25.60000038,20.60000038,0,728,0,35189,35907,4.905888273,H1,BS2,1,1,1,0,3,1
3/12/2019 0:08,0,8,30,0:08:30,3/12/2019,49,25.60000038,20.60000038,0,727,0,35189,35907,4.905888273,H1,BS2,1,1,1,0,3,1
3/12/2019 0:08,0,8,40,0:08:40,3/12/2019,49,25.60000038,20.70000076,0,728,0,35189,35907,4.929703355,H1,BS2,1,1,1,0,3,1
3/12/2019 0:08,0,8,50,0:08:50,3/12/2019,48,25.60000038,20.70000076,0,726,0,35189,35907,4.929703355,H1,BS2,1,1,1,0,3,1
3/12/2019 0:09,0,9,0,0:09:00,3/12/2019,45,25.60000038,20.70000076,0,714,0,35189,35907,4.929703355,H1,BS2,1,1,1,0,3,1
3/12/2019 0:09,0,9,10,0:09:10,3/12/2019,35,25.60000038,20.70000076,0,706,0,35189,35907,4.929703355,H1,BS2,1,1,1,0,3,1
3/12/2019 0:09,0,9,20,0:09:20,3/12/2019,50,25.60000038,20.70000076,0,719,0,35189,35907,4.929703355,H1,BS2,1,1,1,0,3,1
