,hour,minute,second,time-hr-min-sec,date,tvoc_ppb,temp_c,rh_percent,light_lux,co2eq_ppm,dist_mm,co2eq_base,tvoc_base,abs_humid,home,sensor,Will,Maggie,Kurt,Sade,number,occupied
2019-03-23 00:00:00,00,00,00,00:00:00,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:00:10,00,00,10,00:00:10,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:00:20,00,00,20,00:00:20,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:00:30,00,00,30,00:00:30,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:00:40,00,00,40,00:00:40,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:00:50,00,00,50,00:00:50,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:01:00,00,01,00,00:01:00,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:01:10,00,01,10,00:01:10,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:01:20,00,01,20,00:01:20,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:01:30,00,01,30,00:01:30,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:01:40,00,01,40,00:01:40,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:01:50,00,01,50,00:01:50,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:02:00,00,02,00,00:02:00,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:02:10,00,02,10,00:02:10,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:02:20,00,02,20,00:02:20,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:02:30,00,02,30,00:02:30,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:02:40,00,02,40,00:02:40,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:02:50,00,02,50,00:02:50,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:03:00,00,03,00,00:03:00,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:03:10,00,03,10,00:03:10,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:03:20,00,03,20,00:03:20,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:03:30,00,03,30,00:03:30,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:03:40,00,03,40,00:03:40,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:03:50,00,03,50,00:03:50,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:04:00,00,04,00,00:04:00,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:04:10,00,04,10,00:04:10,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:04:20,00,04,20,00:04:20,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:04:30,00,04,30,00:04:30,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:04:40,00,04,40,00:04:40,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:04:50,00,04,50,00:04:50,2019-03-23,,,,,,,,,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:05:00,00,05,00,00:05:00,2019-03-23,0,25.600000381469727,24.600000381469727,0.0,518,0,35186,35585,5.858487920382329,H1,BS2,0,1,1,1,3,1
2019-03-23 00:05:10,00,05,10,00:05:10,2019-03-23,0,25.600000381469727,24.600000381469727,0.0,513,0,35186,35586,5.858487920382329,H1,BS2,0,1,1,1,3,1
2019-03-23 00:05:20,00,05,20,00:05:20,2019-03-23,0,25.600000381469727,24.600000381469727,0.0,515,0,35186,35586,5.858487920382329,H1,BS2,0,1,1,1,3,1
2019-03-23 00:05:30,00,05,30,00:05:30,2019-03-23,0,25.600000381469727,24.5,0.0,510,0,35186,35587,5.834672838358374,H1,BS2,0,1,1,1,3,1
2019-03-23 00:05:40,00,05,40,00:05:40,2019-03-23,0,25.600000381469727,24.5,0.0,505,0,35186,35587,5.834672838358374,H1,BS2,0,1,1,1,3,1
2019-03-23 00:05:50,00,05,50,00:05:50,2019-03-23,0,25.700000762939453,24.600000381469727,0.0,494,0,35186,35588,5.891415803119753,H1,BS2,0,1,1,1,3,1
2019-03-23 00:06:00,00,06,00,00:06:00,2019-03-23,0,25.700000762939453,24.5,0.0,502,0,35186,35588,5.867466867405406,H1,BS2,0,1,1,1,3,1
2019-03-23 00:06:10,00,06,10,00:06:10,2019-03-23,0,25.600000381469727,24.5,0.0,509,0,35186,35589,5.834672838358374,H1,BS2,0,1,1,1,3,1
2019-03-23 00:06:20,00,06,20,00:06:20,2019-03-23,0,25.700000762939453,24.5,0.0,517,0,35186,35589,5.867466867405406,H1,BS2,0,1,1,1,3,1
2019-03-23 00:06:30,00,06,30,00:06:30,2019-03-23,0,25.700000762939453,24.5,0.0,509,0,35186,35590,5.867466867405406,H1,BS2,0,1,1,1,3,1
2019-03-23 00:06:40,00,06,40,00:06:40,2019-03-23,0,25.700000762939453,24.5,0.0,511,0,35186,35590,5.867466867405406,H1,BS2,0,1,1,1,3,1
2019-03-23 00:06:50,00,06,50,00:06:50,2019-03-23,0,25.700000762939453,24.5,0.0,510,0,35186,35591,5.867466867405406,H1,BS2,0,1,1,1,3,1
2019-03-23 00:07:00,00,07,00,00:07:00,2019-03-23,0,25.700000762939453,24.5,0.0,520,0,35186,35591,5.867466867405406,H1,BS2,0,1,1,1,3,1
2019-03-23 00:07:10,00,07,10,00:07:10,2019-03-23,0,25.700000762939453,24.5,0.0,515,0,35186,35592,5.867466867405406,H1,BS2,0,1,1,1,3,1
2019-03-23 00:07:20,00,07,20,00:07:20,2019-03-23,0,25.700000762939453,24.5,0.0,515,0,35186,35592,5.867466867405406,H1,BS2,0,1,1,1,3,1
2019-03-23 00:07:30,00,07,30,00:07:30,2019-03-23,0,25.799999237060547,24.5,0.0,518,0,35186,35593,5.900419220111307,H1,BS2,0,1,1,1,3,1
2019-03-23 00:07:40,00,07,40,00:07:40,2019-03-23,0,25.799999237060547,24.5,0.0,524,0,35186,35594,5.900419220111307,H1,BS2,0,1,1,1,3,1
2019-03-23 00:07:50,00,07,50,00:07:50,2019-03-23,0,25.799999237060547,24.5,0.0,516,0,35186,35594,5.900419220111307,H1,BS2,0,1,1,1,3,1
2019-03-23 00:08:00,00,08,00,00:08:00,2019-03-23,0,25.799999237060547,24.5,0.0,512,0,35186,35595,5.900419220111307,H1,BS2,0,1,1,1,3,1
2019-03-23 00:08:10,00,08,10,00:08:10,2019-03-23,0,,,0.0,516,0,35186,35595,,H1,BS2,0,1,1,1,3,1
2019-03-23 00:08:20,00,08,20,00:08:20,2019-03-23,0,25.799999237060547,24.5,0.0,506,0,35186,35596,5.900419220111307,H1,BS2,0,1,1,1,3,1
2019-03-23 00:08:30,00,08,30,00:08:30,2019-03-23,0,25.799999237060547,24.5,0.0,520,0,35186,35596,5.900419220111307,H1,BS2,0,1,1,1,3,1
2019-03-23 00:08:40,00,08,40,00:08:40,2019-03-23,0,25.799999237060547,24.399999618530273,0.0,513,0,35186,35597,5.876335784485086,H1,BS2,0,1,1,1,3,1
2019-03-23 00:08:50,00,08,50,00:08:50,2019-03-23,0,25.799999237060547,24.399999618530273,0.0,513,0,35186,35597,5.876335784485086,H1,BS2,0,1,1,1,3,1
2019-03-23 00:09:00,00,09,00,00:09:00,2019-03-23,0,25.799999237060547,24.399999618530273,0.0,508,0,35186,35598,5.876335784485086,H1,BS2,0,1,1,1,3,1
