,hour,minute,second,time-hr-min-sec,date,tvoc_ppb,temp_c,rh_percent,light_lux,co2eq_ppm,dist_mm,co2eq_base,tvoc_base,abs_humid,home,sensor,Will,Maggie,Kurt,Sade,number,occupied
2019-03-25 00:00:00,00,00,00,00:00:00,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:00:10,00,00,10,00:00:10,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:00:20,00,00,20,00:00:20,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:00:30,00,00,30,00:00:30,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:00:40,00,00,40,00:00:40,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:00:50,00,00,50,00:00:50,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:01:00,00,01,00,00:01:00,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:01:10,00,01,10,00:01:10,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:01:20,00,01,20,00:01:20,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:01:30,00,01,30,00:01:30,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:01:40,00,01,40,00:01:40,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:01:50,00,01,50,00:01:50,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:02:00,00,02,00,00:02:00,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:02:10,00,02,10,00:02:10,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:02:20,00,02,20,00:02:20,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:02:30,00,02,30,00:02:30,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:02:40,00,02,40,00:02:40,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:02:50,00,02,50,00:02:50,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:03:00,00,03,00,00:03:00,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:03:10,00,03,10,00:03:10,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:03:20,00,03,20,00:03:20,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:03:30,00,03,30,00:03:30,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:03:40,00,03,40,00:03:40,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:03:50,00,03,50,00:03:50,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:04:00,00,04,00,00:04:00,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:04:10,00,04,10,00:04:10,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:04:20,00,04,20,00:04:20,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:04:30,00,04,30,00:04:30,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:04:40,00,04,40,00:04:40,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:04:50,00,04,50,00:04:50,2019-03-25,,,,,,,,,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:05:00,00,05,00,00:05:00,2019-03-25,136,27.600000381469727,24.299999237060547,0.0,970,0,35186,35501,6.46825107016247,H1,BS2,1,1,1,1,4,1
2019-03-25 00:05:10,00,05,10,00:05:10,2019-03-25,138,27.600000381469727,24.399999618530273,0.0,939,0,35186,35501,6.494869489700184,H1,BS2,1,1,1,1,4,1
2019-03-25 00:05:20,00,05,20,00:05:20,2019-03-25,135,,,0.0,938,0,35186,35501,,H1,BS2,1,1,1,1,4,1
2019-03-25 00:05:30,00,05,30,00:05:30,2019-03-25,138,27.600000381469727,24.299999237060547,0.0,929,0,35186,35501,6.46825107016247,H1,BS2,1,1,1,1,4,1
2019-03-25 00:05:40,00,05,40,00:05:40,2019-03-25,118,27.600000381469727,24.299999237060547,0.0,906,0,35186,35501,6.46825107016247,H1,BS2,1,1,1,1,4,1
2019-03-25 00:05:50,00,05,50,00:05:50,2019-03-25,126,27.5,24.200000762939453,0.0,936,0,35186,35501,6.406148034956508,H1,BS2,1,1,1,1,4,1
2019-03-25 00:06:00,00,06,00,00:06:00,2019-03-25,135,27.600000381469727,24.299999237060547,0.0,940,0,35186,35501,6.46825107016247,H1,BS2,1,1,1,1,4,1
2019-03-25 00:06:10,00,06,10,00:06:10,2019-03-25,127,27.5,24.200000762939453,0.0,915,0,35186,35501,6.406148034956508,H1,BS2,1,1,1,1,4,1
2019-03-25 00:06:20,00,06,20,00:06:20,2019-03-25,118,27.5,24.200000762939453,0.0,925,0,35186,35501,6.406148034956508,H1,BS2,1,1,1,1,4,1
2019-03-25 00:06:30,00,06,30,00:06:30,2019-03-25,124,27.5,24.299999237060547,0.0,931,0,35186,35501,6.43261931629095,H1,BS2,1,1,1,1,4,1
2019-03-25 00:06:40,00,06,40,00:06:40,2019-03-25,118,27.5,24.299999237060547,0.0,902,0,35186,35501,6.43261931629095,H1,BS2,1,1,1,1,4,1
2019-03-25 00:06:50,00,06,50,00:06:50,2019-03-25,117,27.5,24.200000762939453,0.0,912,0,35186,35501,6.406148034956508,H1,BS2,1,1,1,1,4,1
2019-03-25 00:07:00,00,07,00,00:07:00,2019-03-25,124,27.5,24.200000762939453,0.0,936,0,35186,35501,6.406148034956508,H1,BS2,1,1,1,1,4,1
2019-03-25 00:07:10,00,07,10,00:07:10,2019-03-25,119,27.5,24.299999237060547,0.0,922,0,35186,35501,6.43261931629095,H1,BS2,1,1,1,1,4,1
2019-03-25 00:07:20,00,07,20,00:07:20,2019-03-25,123,27.5,24.299999237060547,0.0,896,0,35186,35501,6.43261931629095,H1,BS2,1,1,1,1,4,1
2019-03-25 00:07:30,00,07,30,00:07:30,2019-03-25,113,27.5,24.299999237060547,0.0,879,0,35186,35501,6.43261931629095,H1,BS2,1,1,1,1,4,1
2019-03-25 00:07:40,00,07,40,00:07:40,2019-03-25,130,27.5,24.200000762939453,0.0,920,0,35186,35501,6.406148034956508,H1,BS2,1,1,1,1,4,1
2019-03-25 00:07:50,00,07,50,00:07:50,2019-03-25,123,27.5,24.299999237060547,0.0,910,0,35186,35501,6.43261931629095,H1,BS2,1,1,1,1,4,1
2019-03-25 00:08:00,00,08,00,00:08:00,2019-03-25,116,27.5,24.299999237060547,0.0,914,0,35186,35501,6.43261931629095,H1,BS2,1,1,1,1,4,1
2019-03-25 00:08:10,00,08,10,00:08:10,2019-03-25,119,27.5,24.299999237060547,0.0,908,0,35186,35501,6.43261931629095,H1,BS2,1,1,1,1,4,1
2019-03-25 00:08:20,00,08,20,00:08:20,2019-03-25,111,27.5,24.299999237060547,0.0,908,0,35186,35501,6.43261931629095,H1,BS2,1,1,1,1,4,1
2019-03-25 00:08:30,00,08,30,00:08:30,2019-03-25,118,27.5,24.299999237060547,0.0,909,0,35186,35501,6.43261931629095,H1,BS2,1,1,1,1,4,1
