,hour,minute,second,time-hr-min-sec,date,tvoc_ppb,temp_c,rh_percent,light_lux,co2eq_ppm,dist_mm,co2eq_base,tvoc_base,abs_humid,home,sensor,Will,Maggie,Kurt,Sade,number,occupied
2019-02-24 00:00:00,00,00,00,00:00:00,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:00:10,00,00,10,00:00:10,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:00:20,00,00,20,00:00:20,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:00:30,00,00,30,00:00:30,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:00:40,00,00,40,00:00:40,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:00:50,00,00,50,00:00:50,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:01:00,00,01,00,00:01:00,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:01:10,00,01,10,00:01:10,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:01:20,00,01,20,00:01:20,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:01:30,00,01,30,00:01:30,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:01:40,00,01,40,00:01:40,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:01:50,00,01,50,00:01:50,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:02:00,00,02,00,00:02:00,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:02:10,00,02,10,00:02:10,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:02:20,00,02,20,00:02:20,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:02:30,00,02,30,00:02:30,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:02:40,00,02,40,00:02:40,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:02:50,00,02,50,00:02:50,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:03:00,00,03,00,00:03:00,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:03:10,00,03,10,00:03:10,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:03:20,00,03,20,00:03:20,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:03:30,00,03,30,00:03:30,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:03:40,00,03,40,00:03:40,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:03:50,00,03,50,00:03:50,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:04:00,00,04,00,00:04:00,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:04:10,00,04,10,00:04:10,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:04:20,00,04,20,00:04:20,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:04:30,00,04,30,00:04:30,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:04:40,00,04,40,00:04:40,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:04:50,00,04,50,00:04:50,2019-02-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:05:00,00,05,00,00:05:00,2019-02-24,0,22.700000762939453,17.399999618530273,0.0,400,190,35186,35705,3.5155093172790806,H1,BS3,0,1,1,1,3,1
2019-02-24 00:05:10,00,05,10,00:05:10,2019-02-24,0,22.700000762939453,17.399999618530273,0.0,400,577,35186,35705,3.5155093172790806,H1,BS3,0,1,1,1,3,1
2019-02-24 00:05:20,00,05,20,00:05:20,2019-02-24,0,,,0.0,400,576,35186,35706,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:05:30,00,05,30,00:05:30,2019-02-24,0,22.700000762939453,17.5,0.0,400,188,35186,35706,3.535713471330549,H1,BS3,0,1,1,1,3,1
2019-02-24 00:05:40,00,05,40,00:05:40,2019-02-24,0,22.700000762939453,17.600000381469727,0.0,984,571,35186,35707,3.555917625382018,H1,BS3,0,1,1,1,3,1
2019-02-24 00:05:50,00,05,50,00:05:50,2019-02-24,0,22.700000762939453,18.200000762939453,0.0,1277,182,35186,35707,3.6771421643286457,H1,BS3,0,1,1,1,3,1
2019-02-24 00:06:00,00,06,00,00:06:00,2019-02-24,7,22.700000762939453,18.799999237060547,0.0,1355,574,35186,35707,3.798366317913087,H1,BS3,0,1,1,1,3,1
2019-02-24 00:06:10,00,06,10,00:06:10,2019-02-24,34,22.700000762939453,19.200000762939453,0.0,1275,191,35186,35707,3.879182934118963,H1,BS3,0,1,1,1,3,1
2019-02-24 00:06:20,00,06,20,00:06:20,2019-02-24,37,,,0.0,1293,190,35186,35707,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:06:30,00,06,30,00:06:30,2019-02-24,11,,,0.0,1131,571,35186,35707,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:06:40,00,06,40,00:06:40,2019-02-24,32,22.700000762939453,19.100000381469727,0.0,1302,572,35186,35707,3.858978780067494,H1,BS3,0,1,1,1,3,1
2019-02-24 00:06:50,00,06,50,00:06:50,2019-02-24,47,,,0.0,1315,570,35186,35707,,H1,BS3,0,1,1,1,3,1
2019-02-24 00:07:00,00,07,00,00:07:00,2019-02-24,32,22.799999237060547,19.399999618530273,0.0,1347,571,35186,35707,3.9421205252003375,H1,BS3,0,1,1,1,3,1
2019-02-24 00:07:10,00,07,10,00:07:10,2019-02-24,4,22.799999237060547,19.399999618530273,0.0,1094,191,35186,35707,3.9421205252003375,H1,BS3,0,1,1,1,3,1
2019-02-24 00:07:20,00,07,20,00:07:20,2019-02-24,18,22.799999237060547,19.100000381469727,0.0,1281,194,35186,35707,3.8811600523541827,H1,BS3,0,1,1,1,3,1
2019-02-24 00:07:30,00,07,30,00:07:30,2019-02-24,27,22.799999237060547,19.299999237060547,0.0,1269,569,35186,35707,3.921800238392541,H1,BS3,0,1,1,1,3,1
