,hour,minute,second,time-hr-min-sec,date,tvoc_ppb,temp_c,rh_percent,light_lux,co2eq_ppm,dist_mm,co2eq_base,tvoc_base,abs_humid,home,sensor,Will,Maggie,Kurt,Sade,number,occupied
2019-03-12 00:00:00,00,00,00,00:00:00,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:00:10,00,00,10,00:00:10,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:00:20,00,00,20,00:00:20,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:00:30,00,00,30,00:00:30,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:00:40,00,00,40,00:00:40,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:00:50,00,00,50,00:00:50,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:01:00,00,01,00,00:01:00,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:01:10,00,01,10,00:01:10,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:01:20,00,01,20,00:01:20,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:01:30,00,01,30,00:01:30,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:01:40,00,01,40,00:01:40,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:01:50,00,01,50,00:01:50,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:02:00,00,02,00,00:02:00,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:02:10,00,02,10,00:02:10,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:02:20,00,02,20,00:02:20,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:02:30,00,02,30,00:02:30,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:02:40,00,02,40,00:02:40,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:02:50,00,02,50,00:02:50,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:03:00,00,03,00,00:03:00,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:03:10,00,03,10,00:03:10,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:03:20,00,03,20,00:03:20,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:03:30,00,03,30,00:03:30,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:03:40,00,03,40,00:03:40,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:03:50,00,03,50,00:03:50,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:04:00,00,04,00,00:04:00,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:04:10,00,04,10,00:04:10,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:04:20,00,04,20,00:04:20,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:04:30,00,04,30,00:04:30,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:04:40,00,04,40,00:04:40,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:04:50,00,04,50,00:04:50,2019-03-12,,,,,,,,,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:05:00,00,05,00,00:05:00,2019-03-12,0,23.5,26.299999237060547,0.0,1024,571,35186,35678,5.562300314177789,H1,BS3,1,1,1,0,3,1
2019-03-12 00:05:10,00,05,10,00:05:10,2019-03-12,0,23.5,26.299999237060547,0.0,1004,134,35186,35679,5.562300314177789,H1,BS3,1,1,1,0,3,1
2019-03-12 00:05:20,00,05,20,00:05:20,2019-03-12,0,23.5,26.200000762939453,0.0,985,571,35186,35679,5.54115120542659,H1,BS3,1,1,1,0,3,1
2019-03-12 00:05:30,00,05,30,00:05:30,2019-03-12,0,23.5,26.200000762939453,0.0,986,137,35186,35680,5.54115120542659,H1,BS3,1,1,1,0,3,1
2019-03-12 00:05:40,00,05,40,00:05:40,2019-03-12,0,23.5,26.200000762939453,0.0,998,135,35186,35680,5.54115120542659,H1,BS3,1,1,1,0,3,1
2019-03-12 00:05:50,00,05,50,00:05:50,2019-03-12,0,23.5,26.200000762939453,0.0,907,136,35186,35681,5.54115120542659,H1,BS3,1,1,1,0,3,1
2019-03-12 00:06:00,00,06,00,00:06:00,2019-03-12,0,23.5,25.899999618530273,0.0,920,128,35186,35681,5.477702668992815,H1,BS3,1,1,1,0,3,1
2019-03-12 00:06:10,00,06,10,00:06:10,2019-03-12,0,23.5,26.0,0.0,972,571,35186,35682,5.498852181137407,H1,BS3,1,1,1,0,3,1
2019-03-12 00:06:20,00,06,20,00:06:20,2019-03-12,0,23.5,26.100000381469727,0.0,945,140,35186,35682,5.520001693281999,H1,BS3,1,1,1,0,3,1
2019-03-12 00:06:30,00,06,30,00:06:30,2019-03-12,0,23.5,26.100000381469727,0.0,970,130,35186,35683,5.520001693281999,H1,BS3,1,1,1,0,3,1
2019-03-12 00:06:40,00,06,40,00:06:40,2019-03-12,0,23.5,26.100000381469727,0.0,930,570,35186,35683,5.520001693281999,H1,BS3,1,1,1,0,3,1
2019-03-12 00:06:50,00,06,50,00:06:50,2019-03-12,0,23.5,26.0,0.0,945,131,35186,35684,5.498852181137407,H1,BS3,1,1,1,0,3,1
2019-03-12 00:07:00,00,07,00,00:07:00,2019-03-12,0,23.5,26.0,0.0,996,132,35186,35684,5.498852181137407,H1,BS3,1,1,1,0,3,1
2019-03-12 00:07:10,00,07,10,00:07:10,2019-03-12,0,23.5,26.200000762939453,0.0,957,568,35186,35685,5.54115120542659,H1,BS3,1,1,1,0,3,1
2019-03-12 00:07:20,00,07,20,00:07:20,2019-03-12,0,23.5,26.100000381469727,0.0,922,570,35186,35685,5.520001693281999,H1,BS3,1,1,1,0,3,1
2019-03-12 00:07:30,00,07,30,00:07:30,2019-03-12,0,23.5,26.0,0.0,840,571,35186,35686,5.498852181137407,H1,BS3,1,1,1,0,3,1
2019-03-12 00:07:40,00,07,40,00:07:40,2019-03-12,0,23.5,25.700000762939453,0.0,848,570,35186,35686,5.435404048097023,H1,BS3,1,1,1,0,3,1
2019-03-12 00:07:50,00,07,50,00:07:50,2019-03-12,0,23.5,25.899999618530273,0.0,881,135,35186,35687,5.477702668992815,H1,BS3,1,1,1,0,3,1
2019-03-12 00:08:00,00,08,00,00:08:00,2019-03-12,0,23.5,25.899999618530273,0.0,836,571,35186,35688,5.477702668992815,H1,BS3,1,1,1,0,3,1
2019-03-12 00:08:10,00,08,10,00:08:10,2019-03-12,0,23.5,25.700000762939453,0.0,892,129,35186,35688,5.435404048097023,H1,BS3,1,1,1,0,3,1
2019-03-12 00:08:20,00,08,20,00:08:20,2019-03-12,0,23.5,25.899999618530273,0.0,936,574,35186,35689,5.477702668992815,H1,BS3,1,1,1,0,3,1
2019-03-12 00:08:30,00,08,30,00:08:30,2019-03-12,0,23.5,26.100000381469727,0.0,882,137,35186,35689,5.520001693281999,H1,BS3,1,1,1,0,3,1
2019-03-12 00:08:40,00,08,40,00:08:40,2019-03-12,0,23.5,26.0,0.0,891,570,35186,35690,5.498852181137407,H1,BS3,1,1,1,0,3,1
2019-03-12 00:08:50,00,08,50,00:08:50,2019-03-12,0,23.5,26.100000381469727,0.0,900,137,35186,35690,5.520001693281999,H1,BS3,1,1,1,0,3,1
2019-03-12 00:09:00,00,09,00,00:09:00,2019-03-12,0,23.5,26.100000381469727,0.0,993,134,35186,35691,5.520001693281999,H1,BS3,1,1,1,0,3,1
2019-03-12 00:09:10,00,09,10,00:09:10,2019-03-12,0,23.5,26.299999237060547,0.0,948,131,35186,35691,5.562300314177789,H1,BS3,1,1,1,0,3,1
2019-03-12 00:09:20,00,09,20,00:09:20,2019-03-12,0,23.399999618530273,26.200000762939453,0.0,976,568,35186,35692,5.509653045087434,H1,BS3,1,1,1,0,3,1
2019-03-12 00:09:30,00,09,30,00:09:30,2019-03-12,0,23.399999618530273,26.299999237060547,0.0,918,571,35186,35692,5.530681933690549,H1,BS3,1,1,1,0,3,1
2019-03-12 00:09:40,00,09,40,00:09:40,2019-03-12,0,23.399999618530273,26.200000762939453,0.0,958,572,35186,35693,5.509653045087434,H1,BS3,1,1,1,0,3,1
2019-03-12 00:09:50,00,09,50,00:09:50,2019-03-12,0,23.399999618530273,26.200000762939453,0.0,929,135,35186,35693,5.509653045087434,H1,BS3,1,1,1,0,3,1
2019-03-12 00:10:00,00,10,00,00:10:00,2019-03-12,0,23.399999618530273,26.200000762939453,0.0,957,571,35186,35694,5.509653045087434,H1,BS3,1,1,1,0,3,1
2019-03-12 00:10:10,00,10,10,00:10:10,2019-03-12,0,23.399999618530273,26.200000762939453,0.0,915,567,35186,35694,5.509653045087434,H1,BS3,1,1,1,0,3,1
2019-03-12 00:10:20,00,10,20,00:10:20,2019-03-12,0,23.399999618530273,26.100000381469727,0.0,972,571,35186,35695,5.48862375538398,H1,BS3,1,1,1,0,3,1
2019-03-12 00:10:30,00,10,30,00:10:30,2019-03-12,0,23.399999618530273,26.200000762939453,0.0,885,571,35186,35695,5.509653045087434,H1,BS3,1,1,1,0,3,1
2019-03-12 00:10:40,00,10,40,00:10:40,2019-03-12,0,23.399999618530273,26.100000381469727,0.0,899,129,35186,35696,5.48862375538398,H1,BS3,1,1,1,0,3,1
2019-03-12 00:10:50,00,10,50,00:10:50,2019-03-12,0,23.5,26.100000381469727,0.0,928,523,35186,35696,5.520001693281999,H1,BS3,1,1,1,0,3,1
2019-03-12 00:11:00,00,11,00,00:11:00,2019-03-12,0,23.399999618530273,26.100000381469727,0.0,921,519,35186,35697,5.48862375538398,H1,BS3,1,1,1,0,3,1
2019-03-12 00:11:10,00,11,10,00:11:10,2019-03-12,0,,,0.0,922,127,35186,35697,,H1,BS3,1,1,1,0,3,1
2019-03-12 00:11:20,00,11,20,00:11:20,2019-03-12,0,23.399999618530273,26.200000762939453,0.0,935,519,35186,35698,5.509653045087434,H1,BS3,1,1,1,0,3,1
2019-03-12 00:11:30,00,11,30,00:11:30,2019-03-12,0,23.399999618530273,26.200000762939453,0.0,867,132,35186,35698,5.509653045087434,H1,BS3,1,1,1,0,3,1
2019-03-12 00:11:40,00,11,40,00:11:40,2019-03-12,0,23.399999618530273,26.100000381469727,0.0,931,523,35186,35699,5.48862375538398,H1,BS3,1,1,1,0,3,1
2019-03-12 00:11:50,00,11,50,00:11:50,2019-03-12,0,23.399999618530273,26.100000381469727,0.0,933,127,35186,35699,5.48862375538398,H1,BS3,1,1,1,0,3,1
2019-03-12 00:12:00,00,12,00,00:12:00,2019-03-12,0,23.399999618530273,26.200000762939453,0.0,899,131,35186,35700,5.509653045087434,H1,BS3,1,1,1,0,3,1
2019-03-12 00:12:10,00,12,10,00:12:10,2019-03-12,0,23.299999237060547,26.0,0.0,942,133,35186,35700,5.436490443908499,H1,BS3,1,1,1,0,3,1
2019-03-12 00:12:20,00,12,20,00:12:20,2019-03-12,0,23.299999237060547,26.200000762939453,0.0,915,523,35186,35701,5.478309760696758,H1,BS3,1,1,1,0,3,1
2019-03-12 00:12:30,00,12,30,00:12:30,2019-03-12,0,23.299999237060547,26.100000381469727,0.0,841,519,35186,35701,5.457400102302628,H1,BS3,1,1,1,0,3,1
2019-03-12 00:12:40,00,12,40,00:12:40,2019-03-12,0,23.299999237060547,25.899999618530273,0.0,917,522,35186,35702,5.4155807855143685,H1,BS3,1,1,1,0,3,1
2019-03-12 00:12:50,00,12,50,00:12:50,2019-03-12,0,23.399999618530273,26.100000381469727,0.0,929,133,35186,35702,5.48862375538398,H1,BS3,1,1,1,0,3,1
2019-03-12 00:13:00,00,13,00,00:13:00,2019-03-12,0,23.299999237060547,26.200000762939453,0.0,873,136,35186,35703,5.478309760696758,H1,BS3,1,1,1,0,3,1
2019-03-12 00:13:10,00,13,10,00:13:10,2019-03-12,0,23.299999237060547,26.0,0.0,853,521,35186,35703,5.436490443908499,H1,BS3,1,1,1,0,3,1
2019-03-12 00:13:20,00,13,20,00:13:20,2019-03-12,0,23.299999237060547,26.0,0.0,812,521,35186,35704,5.436490443908499,H1,BS3,1,1,1,0,3,1
2019-03-12 00:13:30,00,13,30,00:13:30,2019-03-12,0,23.299999237060547,25.799999237060547,0.0,848,520,35186,35704,5.3946711271202386,H1,BS3,1,1,1,0,3,1
2019-03-12 00:13:40,00,13,40,00:13:40,2019-03-12,0,23.299999237060547,25.899999618530273,0.0,881,134,35186,35705,5.4155807855143685,H1,BS3,1,1,1,0,3,1
2019-03-12 00:13:50,00,13,50,00:13:50,2019-03-12,0,23.299999237060547,26.0,0.0,861,524,35186,35705,5.436490443908499,H1,BS3,1,1,1,0,3,1
2019-03-12 00:14:00,00,14,00,00:14:00,2019-03-12,0,23.299999237060547,26.0,0.0,837,518,35186,35706,5.436490443908499,H1,BS3,1,1,1,0,3,1
2019-03-12 00:14:10,00,14,10,00:14:10,2019-03-12,0,23.399999618530273,26.100000381469727,0.0,783,136,35186,35707,5.48862375538398,H1,BS3,1,1,1,0,3,1
2019-03-12 00:14:20,00,14,20,00:14:20,2019-03-12,0,23.399999618530273,25.899999618530273,0.0,848,129,35186,35707,5.44656517597707,H1,BS3,1,1,1,0,3,1
2019-03-12 00:14:30,00,14,30,00:14:30,2019-03-12,0,23.299999237060547,26.0,0.0,875,133,35186,35708,5.436490443908499,H1,BS3,1,1,1,0,3,1
2019-03-12 00:14:40,00,14,40,00:14:40,2019-03-12,0,23.399999618530273,26.100000381469727,0.0,810,126,35186,35708,5.48862375538398,H1,BS3,1,1,1,0,3,1
2019-03-12 00:14:50,00,14,50,00:14:50,2019-03-12,0,23.299999237060547,25.899999618530273,0.0,817,136,35186,35709,5.4155807855143685,H1,BS3,1,1,1,0,3,1
2019-03-12 00:15:00,00,15,00,00:15:00,2019-03-12,0,23.299999237060547,25.899999618530273,0.0,839,134,35186,35709,5.4155807855143685,H1,BS3,1,1,1,0,3,1
2019-03-12 00:15:10,00,15,10,00:15:10,2019-03-12,0,23.399999618530273,26.0,0.0,806,519,35186,35710,5.467594465680525,H1,BS3,1,1,1,0,3,1
2019-03-12 00:15:20,00,15,20,00:15:20,2019-03-12,0,23.399999618530273,25.899999618530273,0.0,834,127,35186,35710,5.44656517597707,H1,BS3,1,1,1,0,3,1
2019-03-12 00:15:30,00,15,30,00:15:30,2019-03-12,0,23.399999618530273,26.0,0.0,856,136,35186,35711,5.467594465680525,H1,BS3,1,1,1,0,3,1
2019-03-12 00:15:40,00,15,40,00:15:40,2019-03-12,0,23.399999618530273,26.0,0.0,798,136,35186,35711,5.467594465680525,H1,BS3,1,1,1,0,3,1
2019-03-12 00:15:50,00,15,50,00:15:50,2019-03-12,0,23.399999618530273,25.899999618530273,0.0,794,130,35186,35712,5.44656517597707,H1,BS3,1,1,1,0,3,1
2019-03-12 00:16:00,00,16,00,00:16:00,2019-03-12,0,23.399999618530273,25.799999237060547,0.0,821,524,35186,35712,5.425535886273615,H1,BS3,1,1,1,0,3,1
2019-03-12 00:16:10,00,16,10,00:16:10,2019-03-12,0,23.399999618530273,25.899999618530273,0.0,748,522,35186,35713,5.44656517597707,H1,BS3,1,1,1,0,3,1
2019-03-12 00:16:20,00,16,20,00:16:20,2019-03-12,0,23.399999618530273,25.700000762939453,0.0,771,518,35186,35713,5.4045069976705005,H1,BS3,1,1,1,0,3,1
