,hour,minute,second,time-hr-min-sec,date,tvoc_ppb,temp_c,rh_percent,light_lux,co2eq_ppm,dist_mm,co2eq_base,tvoc_base,abs_humid,home,sensor,Will,Maggie,Kurt,Sade,number,occupied
2019-03-25 00:00:00,00,00,00,00:00:00,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:00:10,00,00,10,00:00:10,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:00:20,00,00,20,00:00:20,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:00:30,00,00,30,00:00:30,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:00:40,00,00,40,00:00:40,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:00:50,00,00,50,00:00:50,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:01:00,00,01,00,00:01:00,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:01:10,00,01,10,00:01:10,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:01:20,00,01,20,00:01:20,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:01:30,00,01,30,00:01:30,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:01:40,00,01,40,00:01:40,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:01:50,00,01,50,00:01:50,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:02:00,00,02,00,00:02:00,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:02:10,00,02,10,00:02:10,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:02:20,00,02,20,00:02:20,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:02:30,00,02,30,00:02:30,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:02:40,00,02,40,00:02:40,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:02:50,00,02,50,00:02:50,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:03:00,00,03,00,00:03:00,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:03:10,00,03,10,00:03:10,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:03:20,00,03,20,00:03:20,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:03:30,00,03,30,00:03:30,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:03:40,00,03,40,00:03:40,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:03:50,00,03,50,00:03:50,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:04:00,00,04,00,00:04:00,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:04:10,00,04,10,00:04:10,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:04:20,00,04,20,00:04:20,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:04:30,00,04,30,00:04:30,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:04:40,00,04,40,00:04:40,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:04:50,00,04,50,00:04:50,2019-03-25,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:05:00,00,05,00,00:05:00,2019-03-25,389,25.700000762939453,36.599998474121094,14,1513,168,35186,35501,8.76527666914261,H1,BS3,1,1,1,1,4,1
2019-03-25 00:05:10,00,05,10,00:05:10,2019-03-25,466,,,14,2120,545,35186,35501,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:05:20,00,05,20,00:05:20,2019-03-25,470,25.700000762939453,37.29999923706055,14,2058,163,35186,35501,8.932918762355088,H1,BS3,1,1,1,1,4,1
2019-03-25 00:05:30,00,05,30,00:05:30,2019-03-25,462,25.700000762939453,37.5,14,1927,157,35186,35501,8.980816633783784,H1,BS3,1,1,1,1,4,1
2019-03-25 00:05:40,00,05,40,00:05:40,2019-03-25,381,25.700000762939453,37.599998474121094,14,1445,548,35186,35501,9.004765112710176,H1,BS3,1,1,1,1,4,1
2019-03-25 00:05:50,00,05,50,00:05:50,2019-03-25,431,25.700000762939453,35.400001525878906,14,1791,162,35186,35501,8.477891267722256,H1,BS3,1,1,1,1,4,1
2019-03-25 00:06:00,00,06,00,00:06:00,2019-03-25,410,25.700000762939453,36.400001525878906,14,1550,160,35186,35501,8.717379711289825,H1,BS3,1,1,1,1,4,1
2019-03-25 00:06:10,00,06,10,00:06:10,2019-03-25,386,25.700000762939453,36.20000076293945,14,1458,165,35186,35501,8.66948183986113,H1,BS3,1,1,1,1,4,1
2019-03-25 00:06:20,00,06,20,00:06:20,2019-03-25,369,25.700000762939453,35.400001525878906,14,1452,546,35186,35501,8.477891267722256,H1,BS3,1,1,1,1,4,1
2019-03-25 00:06:30,00,06,30,00:06:30,2019-03-25,334,25.700000762939453,35.0,14,1349,547,35186,35501,8.382095524864866,H1,BS3,1,1,1,1,4,1
2019-03-25 00:06:40,00,06,40,00:06:40,2019-03-25,340,25.700000762939453,33.79999923706055,14,1368,548,35186,35501,8.094709209868602,H1,BS3,1,1,1,1,4,1
2019-03-25 00:06:50,00,06,50,00:06:50,2019-03-25,338,25.700000762939453,33.599998474121094,14,1390,158,35186,35501,8.046811338439905,H1,BS3,1,1,1,1,4,1
2019-03-25 00:07:00,00,07,00,00:07:00,2019-03-25,403,25.600000381469727,33.5,14,1906,157,35186,35501,7.978022044285941,H1,BS3,1,1,1,1,4,1
2019-03-25 00:07:10,00,07,10,00:07:10,2019-03-25,374,25.700000762939453,35.599998474121094,14,1439,165,35186,35501,8.525788225575042,H1,BS3,1,1,1,1,4,1
2019-03-25 00:07:20,00,07,20,00:07:20,2019-03-25,354,25.700000762939453,34.70000076293945,14,1393,547,35186,35501,8.310249174509778,H1,BS3,1,1,1,1,4,1
2019-03-25 00:07:30,00,07,30,00:07:30,2019-03-25,332,25.700000762939453,34.099998474121094,14,1317,548,35186,35501,8.16655556022369,H1,BS3,1,1,1,1,4,1
2019-03-25 00:07:40,00,07,40,00:07:40,2019-03-25,311,25.700000762939453,33.5,14,1288,551,35186,35501,8.022862859513515,H1,BS3,1,1,1,1,4,1
2019-03-25 00:07:50,00,07,50,00:07:50,2019-03-25,314,25.600000381469727,33.29999923706055,14,1352,163,35186,35501,7.930391880238032,H1,BS3,1,1,1,1,4,1
2019-03-25 00:08:00,00,08,00,00:08:00,2019-03-25,320,25.600000381469727,33.0,14,1355,159,35186,35501,7.858947088401076,H1,BS3,1,1,1,1,4,1
2019-03-25 00:08:10,00,08,10,00:08:10,2019-03-25,323,25.700000762939453,33.5,14,1363,163,35186,35501,8.022862859513515,H1,BS3,1,1,1,1,4,1
2019-03-25 00:08:20,00,08,20,00:08:20,2019-03-25,313,25.700000762939453,33.29999923706055,14,1304,165,35186,35501,7.974964988084818,H1,BS3,1,1,1,1,4,1
2019-03-25 00:08:30,00,08,30,00:08:30,2019-03-25,313,25.700000762939453,33.0,14,1296,165,35186,35501,7.9031186377297304,H1,BS3,1,1,1,1,4,1
2019-03-25 00:08:40,00,08,40,00:08:40,2019-03-25,331,25.700000762939453,32.400001525878906,14,1384,165,35186,35501,7.759425937019554,H1,BS3,1,1,1,1,4,1
2019-03-25 00:08:50,00,08,50,00:08:50,2019-03-25,301,25.700000762939453,33.5,14,1263,158,35186,35501,8.022862859513515,H1,BS3,1,1,1,1,4,1
2019-03-25 00:09:00,00,09,00,00:09:00,2019-03-25,288,25.700000762939453,32.20000076293945,14,1277,543,35186,35501,7.7115280655908585,H1,BS3,1,1,1,1,4,1
2019-03-25 00:09:10,00,09,10,00:09:10,2019-03-25,290,25.700000762939453,31.899999618530273,14,1250,544,35186,35501,7.639681258447815,H1,BS3,1,1,1,1,4,1
2019-03-25 00:09:20,00,09,20,00:09:20,2019-03-25,288,25.700000762939453,31.5,14,1285,548,35186,35501,7.543885972378379,H1,BS3,1,1,1,1,4,1
2019-03-25 00:09:30,00,09,30,00:09:30,2019-03-25,282,25.600000381469727,31.700000762939453,14,1256,547,35186,35501,7.549352384794392,H1,BS3,1,1,1,1,4,1
2019-03-25 00:09:40,00,09,40,00:09:40,2019-03-25,297,25.700000762939453,31.700000762939453,14,1301,551,35186,35501,7.591783843807075,H1,BS3,1,1,1,1,4,1
2019-03-25 00:09:50,00,09,50,00:09:50,2019-03-25,282,25.600000381469727,32.5,14,1229,165,35186,35501,7.739872132516211,H1,BS3,1,1,1,1,4,1
2019-03-25 00:10:00,00,10,00,00:10:00,2019-03-25,278,25.600000381469727,31.799999237060547,14,1249,160,35186,35501,7.573167012583437,H1,BS3,1,1,1,1,4,1
2019-03-25 00:10:10,00,10,10,00:10:10,2019-03-25,282,,,14,1237,160,35186,35501,,H1,BS3,1,1,1,1,4,1
2019-03-25 00:10:20,00,10,20,00:10:20,2019-03-25,289,25.600000381469727,32.099998474121094,14,1262,161,35186,35501,7.644611804420393,H1,BS3,1,1,1,1,4,1
