,hour,minute,second,time-hr-min-sec,date,tvoc_ppb,temp_c,rh_percent,light_lux,co2eq_ppm,dist_mm,co2eq_base,tvoc_base,abs_humid,home,sensor,Will,Maggie,Kurt,Sade,number,occupied
2019-03-24 00:00:00,00,00,00,00:00:00,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:00:10,00,00,10,00:00:10,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:00:20,00,00,20,00:00:20,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:00:30,00,00,30,00:00:30,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:00:40,00,00,40,00:00:40,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:00:50,00,00,50,00:00:50,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:01:00,00,01,00,00:01:00,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:01:10,00,01,10,00:01:10,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:01:20,00,01,20,00:01:20,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:01:30,00,01,30,00:01:30,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:01:40,00,01,40,00:01:40,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:01:50,00,01,50,00:01:50,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:02:00,00,02,00,00:02:00,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:02:10,00,02,10,00:02:10,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:02:20,00,02,20,00:02:20,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:02:30,00,02,30,00:02:30,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:02:40,00,02,40,00:02:40,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:02:50,00,02,50,00:02:50,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:03:00,00,03,00,00:03:00,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:03:10,00,03,10,00:03:10,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:03:20,00,03,20,00:03:20,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:03:30,00,03,30,00:03:30,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:03:40,00,03,40,00:03:40,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:03:50,00,03,50,00:03:50,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:04:00,00,04,00,00:04:00,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:04:10,00,04,10,00:04:10,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:04:20,00,04,20,00:04:20,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:04:30,00,04,30,00:04:30,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:04:40,00,04,40,00:04:40,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:04:50,00,04,50,00:04:50,2019-03-24,,,,,,,,,,H1,BS3,0,1,1,1,3,1
2019-03-24 00:05:00,00,05,00,00:05:00,2019-03-24,0,24.799999237060547,28.299999237060547,0.0,455,169,35185,35646,6.443121707788515,H1,BS3,0,1,1,1,3,1
2019-03-24 00:05:10,00,05,10,00:05:10,2019-03-24,0,24.700000762939453,28.0,0.0,486,167,35185,35647,6.338944568851159,H1,BS3,0,1,1,1,3,1
2019-03-24 00:05:20,00,05,20,00:05:20,2019-03-24,0,24.799999237060547,28.100000381469727,0.0,485,553,35185,35647,6.397587538080745,H1,BS3,0,1,1,1,3,1
2019-03-24 00:05:30,00,05,30,00:05:30,2019-03-24,0,24.799999237060547,28.0,0.0,486,553,35185,35648,6.374820236101777,H1,BS3,0,1,1,1,3,1
2019-03-24 00:05:40,00,05,40,00:05:40,2019-03-24,0,24.700000762939453,28.100000381469727,0.0,518,178,35185,35649,6.361583742958321,H1,BS3,0,1,1,1,3,1
2019-03-24 00:05:50,00,05,50,00:05:50,2019-03-24,0,24.799999237060547,28.299999237060547,0.0,507,548,35185,35649,6.443121707788515,H1,BS3,0,1,1,1,3,1
2019-03-24 00:06:00,00,06,00,00:06:00,2019-03-24,0,24.700000762939453,28.299999237060547,0.0,497,553,35185,35650,6.406861659366317,H1,BS3,0,1,1,1,3,1
2019-03-24 00:06:10,00,06,10,00:06:10,2019-03-24,0,24.700000762939453,28.200000762939453,0.0,444,170,35185,35650,6.384222917065484,H1,BS3,0,1,1,1,3,1
2019-03-24 00:06:20,00,06,20,00:06:20,2019-03-24,0,24.799999237060547,28.100000381469727,0.0,504,555,35185,35651,6.397587538080745,H1,BS3,0,1,1,1,3,1
2019-03-24 00:06:30,00,06,30,00:06:30,2019-03-24,0,24.700000762939453,28.200000762939453,0.0,520,166,35185,35651,6.384222917065484,H1,BS3,0,1,1,1,3,1
2019-03-24 00:06:40,00,06,40,00:06:40,2019-03-24,0,24.700000762939453,28.200000762939453,0.0,467,554,35185,35652,6.384222917065484,H1,BS3,0,1,1,1,3,1
2019-03-24 00:06:50,00,06,50,00:06:50,2019-03-24,0,24.700000762939453,28.0,0.0,489,171,35185,35652,6.338944568851159,H1,BS3,0,1,1,1,3,1
2019-03-24 00:07:00,00,07,00,00:07:00,2019-03-24,0,24.700000762939453,28.100000381469727,0.0,504,551,35185,35653,6.361583742958321,H1,BS3,0,1,1,1,3,1
2019-03-24 00:07:10,00,07,10,00:07:10,2019-03-24,0,24.799999237060547,28.299999237060547,0.0,489,169,35185,35653,6.443121707788515,H1,BS3,0,1,1,1,3,1
2019-03-24 00:07:20,00,07,20,00:07:20,2019-03-24,0,24.799999237060547,28.200000762939453,0.0,472,553,35185,35654,6.420354840059714,H1,BS3,0,1,1,1,3,1
2019-03-24 00:07:30,00,07,30,00:07:30,2019-03-24,0,24.700000762939453,28.0,0.0,520,551,35185,35654,6.338944568851159,H1,BS3,0,1,1,1,3,1
2019-03-24 00:07:40,00,07,40,00:07:40,2019-03-24,0,24.700000762939453,28.200000762939453,0.0,529,172,35185,35655,6.384222917065484,H1,BS3,0,1,1,1,3,1
2019-03-24 00:07:50,00,07,50,00:07:50,2019-03-24,0,24.799999237060547,28.399999618530273,0.0,479,557,35185,35655,6.4658890097674835,H1,BS3,0,1,1,1,3,1
2019-03-24 00:08:00,00,08,00,00:08:00,2019-03-24,0,24.700000762939453,28.299999237060547,0.0,458,555,35185,35656,6.406861659366317,H1,BS3,0,1,1,1,3,1
2019-03-24 00:08:10,00,08,10,00:08:10,2019-03-24,0,24.700000762939453,28.100000381469727,0.0,467,557,35185,35656,6.361583742958321,H1,BS3,0,1,1,1,3,1
2019-03-24 00:08:20,00,08,20,00:08:20,2019-03-24,0,24.700000762939453,28.0,0.0,498,555,35185,35657,6.338944568851159,H1,BS3,0,1,1,1,3,1
2019-03-24 00:08:30,00,08,30,00:08:30,2019-03-24,0,24.700000762939453,28.200000762939453,0.0,522,551,35185,35657,6.384222917065484,H1,BS3,0,1,1,1,3,1
2019-03-24 00:08:40,00,08,40,00:08:40,2019-03-24,0,24.700000762939453,28.200000762939453,0.0,485,557,35185,35658,6.384222917065484,H1,BS3,0,1,1,1,3,1
2019-03-24 00:08:50,00,08,50,00:08:50,2019-03-24,0,24.700000762939453,28.100000381469727,0.0,502,177,35185,35658,6.361583742958321,H1,BS3,0,1,1,1,3,1
2019-03-24 00:09:00,00,09,00,00:09:00,2019-03-24,0,24.700000762939453,28.299999237060547,0.0,439,172,35185,35659,6.406861659366317,H1,BS3,0,1,1,1,3,1
2019-03-24 00:09:10,00,09,10,00:09:10,2019-03-24,0,24.700000762939453,28.0,0.0,481,170,35185,35659,6.338944568851159,H1,BS3,0,1,1,1,3,1
2019-03-24 00:09:20,00,09,20,00:09:20,2019-03-24,0,24.600000381469727,28.0,0.0,506,168,35185,35660,6.303242715609231,H1,BS3,0,1,1,1,3,1
