,hour,minute,second,time-hr-min-sec,date,tvoc_ppb,temp_c,rh_percent,light_lux,co2eq_ppm,dist_mm,co2eq_base,tvoc_base,abs_humid,home,sensor,Will,Maggie,Kurt,Sade,number,occupied
2019-03-26 00:00:00,00,00,00,00:00:00,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:00:10,00,00,10,00:00:10,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:00:20,00,00,20,00:00:20,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:00:30,00,00,30,00:00:30,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:00:40,00,00,40,00:00:40,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:00:50,00,00,50,00:00:50,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:01:00,00,01,00,00:01:00,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:01:10,00,01,10,00:01:10,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:01:20,00,01,20,00:01:20,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:01:30,00,01,30,00:01:30,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:01:40,00,01,40,00:01:40,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:01:50,00,01,50,00:01:50,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:02:00,00,02,00,00:02:00,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:02:10,00,02,10,00:02:10,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:02:20,00,02,20,00:02:20,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:02:30,00,02,30,00:02:30,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:02:40,00,02,40,00:02:40,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:02:50,00,02,50,00:02:50,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:03:00,00,03,00,00:03:00,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:03:10,00,03,10,00:03:10,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:03:20,00,03,20,00:03:20,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:03:30,00,03,30,00:03:30,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:03:40,00,03,40,00:03:40,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:03:50,00,03,50,00:03:50,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:04:00,00,04,00,00:04:00,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:04:10,00,04,10,00:04:10,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:04:20,00,04,20,00:04:20,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:04:30,00,04,30,00:04:30,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:04:40,00,04,40,00:04:40,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:04:50,00,04,50,00:04:50,2019-03-26,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-26 00:05:00,00,05,00,00:05:00,2019-03-26,253,24.600000381469727,32.29999923706055,7.0,1925,142,35186,35501,7.271240532328058,H1,BS3,1,1,1,1,4,1
2019-03-26 00:05:10,00,05,10,00:05:10,2019-03-26,256,24.600000381469727,32.400001525878906,7.0,1881,154,35186,35501,7.293752628704436,H1,BS3,1,1,1,1,4,1
2019-03-26 00:05:20,00,05,20,00:05:20,2019-03-26,253,24.600000381469727,32.400001525878906,7.0,1826,154,35186,35501,7.293752628704436,H1,BS3,1,1,1,1,4,1
2019-03-26 00:05:30,00,05,30,00:05:30,2019-03-26,251,24.600000381469727,32.400001525878906,7.0,1851,534,35186,35501,7.293752628704436,H1,BS3,1,1,1,1,4,1
2019-03-26 00:05:40,00,05,40,00:05:40,2019-03-26,247,24.600000381469727,32.400001525878906,7.0,1809,164,35186,35501,7.293752628704436,H1,BS3,1,1,1,1,4,1
2019-03-26 00:05:50,00,05,50,00:05:50,2019-03-26,253,24.600000381469727,32.400001525878906,7.0,1892,154,35186,35501,7.293752628704436,H1,BS3,1,1,1,1,4,1
2019-03-26 00:06:00,00,06,00,00:06:00,2019-03-26,253,24.600000381469727,32.400001525878906,7.0,1842,542,35186,35501,7.293752628704436,H1,BS3,1,1,1,1,4,1
2019-03-26 00:06:10,00,06,10,00:06:10,2019-03-26,254,24.600000381469727,32.400001525878906,7.0,1860,533,35186,35501,7.293752628704436,H1,BS3,1,1,1,1,4,1
2019-03-26 00:06:20,00,06,20,00:06:20,2019-03-26,244,24.600000381469727,32.400001525878906,7.0,1828,536,35186,35501,7.293752628704436,H1,BS3,1,1,1,1,4,1
2019-03-26 00:06:30,00,06,30,00:06:30,2019-03-26,237,24.600000381469727,32.29999923706055,7.0,1761,151,35186,35501,7.271240532328058,H1,BS3,1,1,1,1,4,1
2019-03-26 00:06:40,00,06,40,00:06:40,2019-03-26,232,24.600000381469727,32.20000076293945,7.0,1752,148,35186,35501,7.24872929470035,H1,BS3,1,1,1,1,4,1
2019-03-26 00:06:50,00,06,50,00:06:50,2019-03-26,242,24.600000381469727,32.099998474121094,7.0,1715,536,35186,35501,7.2262171983239725,H1,BS3,1,1,1,1,4,1
2019-03-26 00:07:00,00,07,00,00:07:00,2019-03-26,228,24.600000381469727,32.099998474121094,7.0,1671,163,35186,35501,7.2262171983239725,H1,BS3,1,1,1,1,4,1
2019-03-26 00:07:10,00,07,10,00:07:10,2019-03-26,226,24.5,31.899999618530273,7.0,1639,533,35186,35501,7.14071768600424,H1,BS3,1,1,1,1,4,1
2019-03-26 00:07:20,00,07,20,00:07:20,2019-03-26,232,24.600000381469727,32.0,7.0,1798,537,35186,35501,7.203705960696264,H1,BS3,1,1,1,1,4,1
2019-03-26 00:07:30,00,07,30,00:07:30,2019-03-26,232,24.600000381469727,32.20000076293945,6.0,1738,529,35186,35501,7.24872929470035,H1,BS3,1,1,1,1,4,1
2019-03-26 00:07:40,00,07,40,00:07:40,2019-03-26,222,24.5,32.0,7.0,1511,539,35186,35501,7.163102466603211,H1,BS3,1,1,1,1,4,1
2019-03-26 00:07:50,00,07,50,00:07:50,2019-03-26,199,24.5,31.799999237060547,7.0,1462,158,35186,35501,7.1183329054052695,H1,BS3,1,1,1,1,4,1
2019-03-26 00:08:00,00,08,00,00:08:00,2019-03-26,191,24.5,31.600000381469727,7.0,1471,529,35186,35501,7.073563771161506,H1,BS3,1,1,1,1,4,1
2019-03-26 00:08:10,00,08,10,00:08:10,2019-03-26,189,24.399999618530273,31.399999618530273,7.0,1514,162,35186,35501,6.9891461444694185,H1,BS3,1,1,1,1,4,1
2019-03-26 00:08:20,00,08,20,00:08:20,2019-03-26,203,24.299999237060547,31.399999618530273,7.0,1588,154,35186,35501,6.9496914069210955,H1,BS3,1,1,1,1,4,1
2019-03-26 00:08:30,00,08,30,00:08:30,2019-03-26,231,24.299999237060547,31.700000762939453,0.0,1803,147,35186,35501,7.016089986561096,H1,BS3,1,1,1,1,4,1
2019-03-26 00:08:40,00,08,40,00:08:40,2019-03-26,223,24.299999237060547,32.20000076293945,0.0,1713,534,35186,35501,7.126753863811906,H1,BS3,1,1,1,1,4,1
2019-03-26 00:08:50,00,08,50,00:08:50,2019-03-26,230,24.299999237060547,32.20000076293945,0.0,1690,149,35186,35501,7.126753863811906,H1,BS3,1,1,1,1,4,1
2019-03-26 00:09:00,00,09,00,00:09:00,2019-03-26,222,24.299999237060547,32.29999923706055,0.0,1717,533,35186,35501,7.148886301542716,H1,BS3,1,1,1,1,4,1
2019-03-26 00:09:10,00,09,10,00:09:10,2019-03-26,224,24.299999237060547,32.29999923706055,14.0,1646,538,35186,35501,7.148886301542716,H1,BS3,1,1,1,1,4,1
2019-03-26 00:09:20,00,09,20,00:09:20,2019-03-26,225,24.299999237060547,32.29999923706055,14.0,1662,535,35186,35501,7.148886301542716,H1,BS3,1,1,1,1,4,1
2019-03-26 00:09:30,00,09,30,00:09:30,2019-03-26,228,24.299999237060547,32.29999923706055,14.0,1713,535,35186,35501,7.148886301542716,H1,BS3,1,1,1,1,4,1
2019-03-26 00:09:40,00,09,40,00:09:40,2019-03-26,232,24.299999237060547,32.400001525878906,14.0,1720,538,35186,35501,7.171019583571907,H1,BS3,1,1,1,1,4,1
