,hour,minute,second,time-hr-min-sec,date,tvoc_ppb,temp_c,rh_percent,light_lux,co2eq_ppm,dist_mm,co2eq_base,tvoc_base,abs_humid,home,sensor,Will,Maggie,Kurt,Sade,number,occupied
2019-03-01 00:00:00,00,00,00,00:00:00,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:00:10,00,00,10,00:00:10,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:00:20,00,00,20,00:00:20,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:00:30,00,00,30,00:00:30,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:00:40,00,00,40,00:00:40,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:00:50,00,00,50,00:00:50,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:01:00,00,01,00,00:01:00,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:01:10,00,01,10,00:01:10,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:01:20,00,01,20,00:01:20,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:01:30,00,01,30,00:01:30,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:01:40,00,01,40,00:01:40,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:01:50,00,01,50,00:01:50,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:02:00,00,02,00,00:02:00,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:02:10,00,02,10,00:02:10,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:02:20,00,02,20,00:02:20,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:02:30,00,02,30,00:02:30,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:02:40,00,02,40,00:02:40,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:02:50,00,02,50,00:02:50,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:03:00,00,03,00,00:03:00,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:03:10,00,03,10,00:03:10,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:03:20,00,03,20,00:03:20,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:03:30,00,03,30,00:03:30,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:03:40,00,03,40,00:03:40,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:03:50,00,03,50,00:03:50,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:04:00,00,04,00,00:04:00,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:04:10,00,04,10,00:04:10,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:04:20,00,04,20,00:04:20,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:04:30,00,04,30,00:04:30,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:04:40,00,04,40,00:04:40,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:04:50,00,04,50,00:04:50,2019-03-01,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-01 00:05:00,00,05,00,00:05:00,2019-03-01,0,24.399999618530273,22.5,0.0,409,182,35187,35702,5.008146183471912,H1,BS3,1,1,1,1,4,1
2019-03-01 00:05:10,00,05,10,00:05:10,2019-03-01,0,24.399999618530273,22.399999618530273,0.0,400,567,35187,35703,4.985887671080653,H1,BS3,1,1,1,1,4,1
2019-03-01 00:05:20,00,05,20,00:05:20,2019-03-01,0,24.399999618530273,22.399999618530273,0.0,400,569,35187,35703,4.985887671080653,H1,BS3,1,1,1,1,4,1
2019-03-01 00:05:30,00,05,30,00:05:30,2019-03-01,0,24.399999618530273,22.5,0.0,400,184,35187,35704,5.008146183471912,H1,BS3,1,1,1,1,4,1
2019-03-01 00:05:40,00,05,40,00:05:40,2019-03-01,0,24.399999618530273,22.399999618530273,0.0,400,565,35187,35705,4.985887671080653,H1,BS3,1,1,1,1,4,1
2019-03-01 00:05:50,00,05,50,00:05:50,2019-03-01,0,24.399999618530273,22.5,0.0,400,184,35187,35705,5.008146183471912,H1,BS3,1,1,1,1,4,1
2019-03-01 00:06:00,00,06,00,00:06:00,2019-03-01,0,24.399999618530273,22.399999618530273,0.0,400,568,35187,35706,4.985887671080653,H1,BS3,1,1,1,1,4,1
2019-03-01 00:06:10,00,06,10,00:06:10,2019-03-01,0,24.399999618530273,22.5,0.0,407,567,35187,35706,5.008146183471912,H1,BS3,1,1,1,1,4,1
2019-03-01 00:06:20,00,06,20,00:06:20,2019-03-01,0,24.399999618530273,22.5,0.0,417,566,35187,35707,5.008146183471912,H1,BS3,1,1,1,1,4,1
2019-03-01 00:06:30,00,06,30,00:06:30,2019-03-01,0,,,0.0,406,569,35187,35707,,H1,BS3,1,1,1,1,4,1
