,hour,minute,second,time-hr-min-sec,date,tvoc_ppb,temp_c,rh_percent,light_lux,co2eq_ppm,dist_mm,co2eq_base,tvoc_base,abs_humid,home,sensor,Will,Maggie,Kurt,Sade,number,occupied
2019-03-16 00:00:00,00,00,00,00:00:00,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:00:10,00,00,10,00:00:10,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:00:20,00,00,20,00:00:20,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:00:30,00,00,30,00:00:30,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:00:40,00,00,40,00:00:40,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:00:50,00,00,50,00:00:50,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:01:00,00,01,00,00:01:00,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:01:10,00,01,10,00:01:10,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:01:20,00,01,20,00:01:20,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:01:30,00,01,30,00:01:30,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:01:40,00,01,40,00:01:40,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:01:50,00,01,50,00:01:50,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:02:00,00,02,00,00:02:00,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:02:10,00,02,10,00:02:10,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:02:20,00,02,20,00:02:20,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:02:30,00,02,30,00:02:30,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:02:40,00,02,40,00:02:40,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:02:50,00,02,50,00:02:50,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:03:00,00,03,00,00:03:00,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:03:10,00,03,10,00:03:10,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:03:20,00,03,20,00:03:20,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:03:30,00,03,30,00:03:30,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:03:40,00,03,40,00:03:40,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:03:50,00,03,50,00:03:50,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:04:00,00,04,00,00:04:00,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:04:10,00,04,10,00:04:10,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:04:20,00,04,20,00:04:20,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:04:30,00,04,30,00:04:30,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:04:40,00,04,40,00:04:40,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:04:50,00,04,50,00:04:50,2019-03-16,,,,,,,,,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:05:00,00,05,00,00:05:00,2019-03-16,54,25.700000762939453,24.899999618530273,39.0,1493,562,35186,35501,5.963262153474842,H1,BS3,1,1,1,1,4,1
2019-03-16 00:05:10,00,05,10,00:05:10,2019-03-16,56,25.700000762939453,24.899999618530273,39.0,1484,570,35186,35501,5.963262153474842,H1,BS3,1,1,1,1,4,1
2019-03-16 00:05:20,00,05,20,00:05:20,2019-03-16,60,25.700000762939453,24.899999618530273,39.0,1509,171,35186,35501,5.963262153474842,H1,BS3,1,1,1,1,4,1
2019-03-16 00:05:30,00,05,30,00:05:30,2019-03-16,61,25.700000762939453,25.0,39.0,1524,192,35186,35501,5.98721108918919,H1,BS3,1,1,1,1,4,1
2019-03-16 00:05:40,00,05,40,00:05:40,2019-03-16,61,25.700000762939453,25.0,39.0,1516,567,35186,35501,5.98721108918919,H1,BS3,1,1,1,1,4,1
2019-03-16 00:05:50,00,05,50,00:05:50,2019-03-16,62,25.799999237060547,25.200000762939453,33.0,1502,573,35186,35501,6.069002810141534,H1,BS3,1,1,1,1,4,1
2019-03-16 00:06:00,00,06,00,00:06:00,2019-03-16,61,25.799999237060547,25.100000381469727,33.0,1514,574,35186,35501,6.044919374515311,H1,BS3,1,1,1,1,4,1
2019-03-16 00:06:10,00,06,10,00:06:10,2019-03-16,57,,,33.0,1498,573,35186,35501,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:06:20,00,06,20,00:06:20,2019-03-16,65,25.799999237060547,25.0,33.0,1489,564,35186,35501,6.02083593888909,H1,BS3,1,1,1,1,4,1
2019-03-16 00:06:30,00,06,30,00:06:30,2019-03-16,58,25.799999237060547,25.0,33.0,1477,69,35186,35501,6.02083593888909,H1,BS3,1,1,1,1,4,1
2019-03-16 00:06:40,00,06,40,00:06:40,2019-03-16,55,25.799999237060547,24.899999618530273,33.0,1480,189,35186,35501,5.996752503262868,H1,BS3,1,1,1,1,4,1
2019-03-16 00:06:50,00,06,50,00:06:50,2019-03-16,53,25.799999237060547,24.899999618530273,39.0,1467,571,35186,35501,5.996752503262868,H1,BS3,1,1,1,1,4,1
2019-03-16 00:07:00,00,07,00,00:07:00,2019-03-16,56,25.799999237060547,24.899999618530273,39.0,1482,570,35186,35501,5.996752503262868,H1,BS3,1,1,1,1,4,1
2019-03-16 00:07:10,00,07,10,00:07:10,2019-03-16,48,25.799999237060547,24.899999618530273,33.0,1475,573,35186,35501,5.996752503262868,H1,BS3,1,1,1,1,4,1
2019-03-16 00:07:20,00,07,20,00:07:20,2019-03-16,56,25.799999237060547,24.899999618530273,33.0,1469,171,35186,35501,5.996752503262868,H1,BS3,1,1,1,1,4,1
2019-03-16 00:07:30,00,07,30,00:07:30,2019-03-16,53,25.799999237060547,24.799999237060547,33.0,1468,572,35186,35501,5.972669067636646,H1,BS3,1,1,1,1,4,1
2019-03-16 00:07:40,00,07,40,00:07:40,2019-03-16,48,25.799999237060547,24.700000762939453,39.0,1460,193,35186,35501,5.948586091363751,H1,BS3,1,1,1,1,4,1
2019-03-16 00:07:50,00,07,50,00:07:50,2019-03-16,43,,,33.0,1467,167,35186,35501,,H1,BS3,1,1,1,1,4,1
2019-03-16 00:08:00,00,08,00,00:08:00,2019-03-16,47,25.799999237060547,24.600000381469727,33.0,1457,188,35186,35501,5.9245026557375295,H1,BS3,1,1,1,1,4,1
2019-03-16 00:08:10,00,08,10,00:08:10,2019-03-16,42,25.799999237060547,24.600000381469727,33.0,1445,571,35186,35501,5.9245026557375295,H1,BS3,1,1,1,1,4,1
2019-03-16 00:08:20,00,08,20,00:08:20,2019-03-16,45,25.700000762939453,24.700000762939453,34.0,1447,570,35186,35501,5.915364738834101,H1,BS3,1,1,1,1,4,1
2019-03-16 00:08:30,00,08,30,00:08:30,2019-03-16,41,25.700000762939453,24.700000762939453,34.0,1447,190,35186,35501,5.915364738834101,H1,BS3,1,1,1,1,4,1
2019-03-16 00:08:40,00,08,40,00:08:40,2019-03-16,49,25.700000762939453,24.700000762939453,34.0,1461,567,35186,35501,5.915364738834101,H1,BS3,1,1,1,1,4,1
2019-03-16 00:08:50,00,08,50,00:08:50,2019-03-16,48,25.700000762939453,24.700000762939453,33.0,1455,195,35186,35501,5.915364738834101,H1,BS3,1,1,1,1,4,1
